YEMEK ADI,PİŞME,İÇERİK,YEMEK TÜRÜ,FİYAT
balık çorbası,pişirme,"balık, tereyağ, mantar, kereviz, baharat, krema",Çorba,50
mercimek çorbası,pişirme,"kırmızı mercimek, soğan,havuç,patates,sarımsak,domates,tereyağ,tuz,karabiber,kırmızı biber",Çorba,40
ezogelin çorbası,pişirme,"kırmızı mercimek, pirinç,soğan,havuç,domates,sarımsak,tereyağ,tuz, karabiber, kırmızı biber,nane, pul biber,maydanoz",Çorba,40
çoban salata,salata,"salatalık, domates, sivri biber, maydanoz, zeytinyağı, limon, tuz",Salata,35
mevsim salata,salata,"göbek salata, roka, havuç, domates, salatalık, akdeniz yeşilliği, maydanoz, kırmızı lahana, limon, tuz",Salata,35
söğüş salata,salata,"domates, salatalık, maydanoz, sivri biber, akdeniz yeşilliği, limon, tuz",Salata,35
hellim peynirli salata,kızartma,"kızarmış hellim peynir, marul, domates, salatalık, kırmızı soğan, zeytin, sivri biber, nane, zeytinyağı, limon, tuz",Salata,75
piliç etli salata,kızartma,"kızarmış piliç, göbek salata, roka, limon",Salata,58
kırmızı etli salata,ızgara,"ızgara bonfile, marul, salatalık, sivri biber, limon",Salata,130
biber dolma,fırınlama,"dolmalık biber, soğan, kıyma, domates, pirinç,  tuz, karabiber, kimyon, pul biber, maydanoz, zeytinyağı, limon",Zeytinyağlı,42
soslu patlıcan,fırınlama,"patlıcan, domates, kapya biber, soğan, sarımsak, zeytinyağı, tuz, karabiber, pul biber, dereotu, limon",Zeytinyağlı,42
enginar,buğulama,"enginar, soğan, havuç, patates, bezelye, zeytinyağı, limon, tuz, bakla, dereotu",Zeytinyağlı,42
taze fasulye,buğulama,"taze fasulye, domates, zeytinyağı, tuz, patates, kırmızı biber",Zeytinyağlı,42
yaprak sarma,buğulama,"asma yaprağı, soğan, pirinç, kıyma, zeytinyağı, tuz, karabiber, pul biber, kimyon, limon",Zeytinyağlı,42
patates tava,kızartma,"patates, tuz",Ara Sıcak,30
Paçanga Böreği,fırınlama,"un, tereyağ, pastırma, kaşar",Ara Sıcak,50
Mantar Graten,sote,"mantar, kaşar, tereyağ, tuz",Ara Sıcak,55
Mantar Kavurma,sote,"mantar, domates, tereyağ, sivri biber, soğan, tuz",Ara Sıcak,40
Julyen Dil Balığı,soteleme,"dil balığı, tereyağ, yoğurt, havuç, tuz, dereotu",Ara Sıcak,155
Çipura Izgara,ızgara,"roka, kırmızı soğan, maydanoz, limon, çipura",Balık,225
Mezgit Tava,kızartma,"mezgit, ceviz, sarımsak, kapari, tuz, limon, maydanoz, yumurta sarısı, zeytinyağı",Balık,190
Fesleğen Soslu Somon Izgara,ızgara,"somon, fesleğen, zeytinyağı, sarımsak, tuz, çam fıstığı, roka, turp, tahin, şeker",Balık,300
Levrek Izgara,ızgara,"roka, kırmızı soğan, marul, limon, levrek",Balık,220
Kiremitte Levrek,gratine ,"mantar, biber, fesleğen, taze soğan, kaşar, tereyağı, levrek, kereviz",Balık,300
Somon Izgara,ızgara,"somon, roka, kırmızı soğan, marul, limon",Balık,290
Dil Balığı Izgara,ızgara,"roka, marul, taze soğan, dil balığı, limon",Balık,200
Somon Kavurma,kavurma,"kapya biber, sarı biber, mantar, soğan, somon",Balık,300
Köfte Izgara ,ızgara,"ızgara köfte, pilav, patates, domates, biber ",Izgara,140
Kaşarlı Izgara Köfte ,ızgara ,"pilav, patates, domates, biber, kaşarlı köfte ızgara",Izgara,150
Piliç Izgara ,ızgara ,"pilav, domates, patates, biber, piliç ",Izgara,95
Piliç Kavurma,kavurma,"soğan, mantar, domates, biber, baharat, piliç",Kavurma,100
Beğendili Julyen Piliç,soteleme,"kapya biber,  çarliston biber,  közlenmiş patlıcan, piliç, soya",Izgara,105
Bonfile,ızgara,"pilav, patates, bonfile, tuz",Izgara,300
Kaşarlı Bonfile,gratine ,"kaşar, bonfile, pirinç, tuz, tereyağ, patates",Izgara,310
Beğendili Julyen Bonfile,gratine ,"kapya biber, çarliston biber, bonfile, patlıcan",Izgara,285
Karışık Izgara,ızgara,"kıyma, tuz, maydanoz, soğan, karabiber, pul biber, pirzola, biftek, kuzu eti, piliç, pilav, domates, biber",Izgara,290
Çoban Kavurma,kavurma,"arpacık soğan, mantar, domates, biber, kuzu eti, pirinç, tuz, tereyağ, soya",Kavurma,240
Sütlaç,pişirme,"süt, pirinç, şeker, su, nişasta, vanilin, tarçın",Tatlı ,40
Trileçe,fırınlama,"yumurta, şeker, un, süt, vanilin, kabartma tozu, yumurta, fındık",Tatlı ,40
Aşure,pişirme,"buğday, nohut, kuru fasulye, kuru üzüm, kuru kayısı, ceviz, fındık, tarçın, şeker, vanilin",Tatlı ,40
Profiterol ,fırınlama,"un, tereyağ, yumurta, tuz, süt, şeker, vanilin, krema ",Tatlı ,40
